method,case_type,trigger_accuracy,fire_precision,fire_recall,fire_f1,indirect_trigger_recall,indirect_action_completion,false_trigger_rate,near_miss_false_trigger_rate,wrong_scope_false_trigger_rate,wrong_contract_false_trigger_rate,overall_false_trigger_rate,false_trigger_rate_excluding_contract_swap,false_trigger_rate_including_contract_swap,already_satisfied_accuracy,conflict_accuracy,conflict_detection_accuracy,conflict_safe_action_accuracy,conflict_as_fire_rate,conflict_as_suppress_rate,target_action_completion_rate,predicted_contract_action_completion_rate,irrelevant_action_completion_rate,wrong_contract_action_completion_rate,checker_repair_gain,contract_swap_sensitivity,paraphrase_consistency,per_family_variance,end_to_end_success,end_to_end_success_strict,end_to_end_success_behavioral,end_to_end_success_indirect,end_to_end_success_near_miss,end_to_end_success_wrong_scope,weighted_utility
NoMemory,already_satisfied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
NoMemory,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.375
NoMemory,contract_swap,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
NoMemory,direct_trigger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NoMemory,indirect_trigger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NoMemory,near_miss,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
NoMemory,wrong_scope,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
KeywordTrigger,already_satisfied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.9722222222222222,0.09212846639876111,0.975,0.975,0.975,0.0,0.0,0.0,-0.0125
KeywordTrigger,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.9,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,-0.375
KeywordTrigger,contract_swap,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
KeywordTrigger,direct_trigger,0.0625,1.0,0.0625,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,1.0,0.0,0.0,-1.0,0.0,-0.0625,0.14877975892797604,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0625
KeywordTrigger,indirect_trigger,0.007575757575757576,1.0,0.007575757575757576,0.015037593984962407,0.007575757575757576,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,1.0,0.0,0.0,-1.0,0.0,0.0,0.0394836284566119,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.0,0.0,0.007575757575757576
KeywordTrigger,near_miss,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
KeywordTrigger,wrong_scope,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
TfidfRawMemory,already_satisfied,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.75,0.1928256024571503,0.775,0.775,0.775,0.0,0.0,0.0,-0.1125
TfidfRawMemory,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.8,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,-0.375
TfidfRawMemory,contract_swap,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
